"player","mapsPlayed","impact","rating"
"Sync",2,-0.000713062555966354,NA
"ExperiencE",1,-0.000713289898206198,NA
"laTal",1,-0.000714081818556155,NA
"kruzer",1,-0.000714123732234769,NA
"Europha",3,-0.000716722496519252,NA
"Kirby",3,-0.000718176360738368,NA
"jimmy_tw",3,-0.000718191031111856,NA
"Ou7bReaK",1,-0.000719535013140548,NA
"Zeus",667,-0.00072322284950382,0.93
"affiNity",1,-0.000724767264688742,NA
"SeokE",5,-0.000725540681161328,NA
"TEKSI",2,-0.00072602977828536,NA
"Potei",1,-0.00072696668514734,NA
"natu",6,-0.000727205013389806,NA
"KiiroKami",1,-0.000728369719877983,NA
"Biggie",1,-0.000728611058044834,NA
"VIPPEER",1,-0.000729482118340584,NA
"nEiLZiNHo",3,-0.000730293369721462,NA
"wudixt",1,-0.000730909036635903,NA
"DANK1NG",5,-0.000733632751654124,NA
"zeph",5,-0.000733889023388949,NA
"kr1vda",4,-0.000737177986022159,NA
"hate",1,-0.0007399068512154,NA
"KmZ",2,-0.00074142357971767,NA
"Foga",1,-0.000742468631121339,NA
"Xeppaa",138,-0.000742666300851308,1
"Liki",1,-0.000745722804003903,NA
"Devilwalk",8,-0.00074664911018535,1.09
"kajsk1ng",5,-0.00074835293661023,NA
"zypztw",2,-0.000751372344425445,NA
"epis",1,-0.000751481997416781,NA
"Lakia",5,-0.000751780896847723,NA
"Tesquo",1,-0.000753975281635395,NA
"Pechyn",3,-0.000755019686063698,NA
"shroud",395,-0.000755537934491215,1.04
"Dodz",5,-0.000756456977792105,NA
"mole",4,-0.000756611864066102,NA
"ak-nY",2,-0.000759286945286254,NA
"RETO",2,-0.000760780621450756,NA
"tiz",1,-0.000762239601005968,NA
"SYSTEM",2,-0.000763356107910749,NA
"Frockle",1,-0.000764695352705314,NA
"CaPPiNg!",1,-0.000765559797794725,NA
"FreeZe",2,-0.000766854199928171,NA
"Delection",2,-0.000767149035667024,NA
"hussaR",3,-0.000769101950209675,NA
"Kaka",2,-0.000770177804187375,NA
"Hkta",4,-0.000770183367309711,NA
"felps",573,-0.000776055295417907,1.06
"Questionmark",2,-0.000777522831352309,NA
"byr9",2,-0.000779469962098448,NA
"JMZ",1,-0.000780459888778382,NA
